resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed
2,"{'id': 57928978, 'resource_state': 1}",Morning Run,3872.3,1467,1467,0,Run,Run,,Garmin Forerunner 55,17766702463,2026-03-18T13:11:38Z,2026-03-18T09:11:38Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,6,0,1,0,"{'id': 'a17766702463', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],2.64,3.293,79.3,True,127.5,133.0,False,True,0.0,0.0,18865602889,18865602889,garmin_ping_547671265446,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Morning Run,7409.4,2736,3029,4.1,Run,Run,0,Garmin Forerunner 55,17766400409,2026-03-18T12:19:45Z,2026-03-18T08:19:45Z,(GMT-05:00) America/Indiana/Indianapolis,-14400.0,,,,0,9,0,1,0,"{'id': 'a17766400409', 'summary_polyline': '', 'resource_state': 2}",False,False,False,False,everyone,False,,[],[],2.708,4.06,80.9,True,137.6,145.0,False,True,237.4,233.2,18865299708,18865299708,garmin_ping_547662651584,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Evening Weight Training,0.0,1620,1620,0,WeightTraining,WeightTraining,30,17760855885,2026-03-17T23:10:10Z,2026-03-17T19:10:10Z,(GMT-05:00) America/Detroit,-14400.0,,,,0,2,0,1,0,"{'id': 'a17760855885', 'summary_polyline': '', 'resource_state': 2}",False,False,True,False,everyone,False,,[],[],0.0,0,False,False,False,,,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",6x1k alternating hurdles & regular,5954.6,1380,1380,0,Run,Run,,17759316576,2026-03-17T20:27:22Z,2026-03-17T16:27:22Z,(GMT-05:00) America/Detroit,-14400.0,,,,0,11,0,1,0,"{'id': 'a17759316576', 'summary_polyline': '', 'resource_state': 2}",False,False,True,False,everyone,False,,[],[],4.315,0,False,False,False,,,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Afternoon Run,4838.2,1400,1414,0.0,Run,Run,,Garmin Forerunner 55,17759247146,2026-03-17T20:18:33Z,2026-03-17T16:18:33Z,(GMT-05:00) America/Indiana/Indianapolis,-14400.0,,,,0,4,0,1,0,"{'id': 'a17759247146', 'summary_polyline': '', 'resource_state': 2}",False,False,False,False,everyone,False,,[],[],3.456,11.92,81.0,True,150.2,155.0,False,True,237.5,235.0,18858122297,18858122297,garmin_ping_547403477738,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Afternoon Run,612.4,223,234,0.0,Run,Run,,Garmin Forerunner 55,17758874200,2026-03-17T20:00:43Z,2026-03-17T16:00:43Z,(GMT-05:00) America/Indiana/Indianapolis,-14400.0,,,,0,2,0,1,0,"{'id': 'a17758874200', 'summary_polyline': '', 'resource_state': 2}",False,False,False,False,everyone,False,,[],[],2.746,9.533,86.8,True,177.6,185.0,False,True,237.3,236.1,18857751745,18857751745,garmin_ping_547393237699,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Afternoon Run,3269.2,985,985,0,Run,Run,,Garmin Forerunner 55,17758268667,2026-03-17T19:01:01Z,2026-03-17T15:01:01Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,4,0,1,0,"{'id': 'a17758268667', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],3.319,3.425,80.7,True,140.4,154.0,False,True,0.0,0.0,18857149627,18857149627,garmin_ping_547379026302,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Morning Run,4849.3,1533,1533,0,Run,Run,,Garmin Forerunner 55,17741978019,2026-03-16T12:52:32Z,2026-03-16T08:52:32Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,7,0,1,0,"{'id': 'a17741978019', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],3.163,3.3,79.7,True,133.6,138.0,False,True,0.0,0.0,18840824420,18840824420,garmin_ping_546881997352,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Morning Run,4936.1,1483,1663,0,Run,Run,,Garmin Forerunner 55,17741713827,2026-03-16T12:22:20Z,2026-03-16T08:22:20Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,7,0,1,0,"{'id': 'a17741713827', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],3.328,3.46,81.2,True,135.7,148.0,False,True,0.0,0.0,18840559317,18840559317,garmin_ping_546873927987,False,0,0,False
2,"{'id': 57928978, 'resource_state': 1}",Lunch Run,14497.4,4214,4634,49.8,Run,Run,,Garmin Forerunner 55,17733936905,2026-03-15T15:09:20Z,2026-03-15T11:09:20Z,(GMT-05:00) America/Detroit,-14400.0,,,,1,20,1,2,0,"{'id': 'a17733936905', 'summary_polyline': 'i_s`GlcjiO~@qC\\w@Rm@Ve@Nq@|@yBZ{@n@wFDo@DqA`@_DJwBTgC@iBv@o@r@cBbC_F^oAXk@Z_@^q@~@mB`@sAVe@f@k@NUVc@J]FwBf@qDCkA]wBS_BReCd@uB@o@Eo@g@iCCaADo@\\iADq@?iA@gAFq@\\q@z@s@Zc@EeBEy@B_BGSI@YJcABg@Hm@Ko@?w@Fc@HQ?k@Mi@EuBHkAEk@DqAAo@B_AK}CNcAGs@@aAIw@D_BGo@ReADqA?mBIwAJqBAm@DyCBaBKcBLgB@gBIU?k@HkBDaBCiAKaE?wBBc@Ie@Ei@@w@Je@?k@DcCMq@Bo@Ng@@i@Mc@Eo@Ce@NQ?MCm@Bs@H_@C{@Q{CBW@sAZi@@o@KECe@Eo@CY@i@Hi@Bs@Gi@Ak@OOCs@Hk@Ni@Dw@Bg@AcBMiBHUHAD?zBD|AEnBJ|GGnNBl@C`K@xKAbE@fBChA@|CItEEt@@zAK|AAhCCfA@pBFbABnJG|DD`BAhCFt@?r@EtG?rGOx@KNkAKy@B}C@}AA{@Be@Ac@JCDGd@BnNCvBBnA?tBMn@UJwA?_@?QEEzADjGDhJCrABxB?xECvBBjCCtFBbICfDDfFFBv@@dDI|@?^Cl@Sb@@pA`A\\Hn@@fBENQFAX@^Ff@?bI?dBMxBYbCm@b@IfAO~AMpCGfBBVGfABvAAnB@x@J|@Tb@Nn@ZZPbFrDNF@IOWOk@QaAGk@C{@?mD@u@DMXe@DOFkFIeEBkANa@b@Ur@In@@bEId@G~@S`@YHITg@DMf@wFFUDC`@?xBJv@JzBBJJJ?VITa@JGx@CPIhAOj@O~@K^[Rk@BOCq@Si@a@o@Ig@BgCFQLIf@Ep@BBBR`@Nn@FJ\\^f@Jj@U|@gAf@UVAx@JJ?d@QLc@LaAjAaDl@gCBCb@O^kAG[AgCJwB@u@Gk@GqBRsB?YE{@Be@f@kDV}@Gg@YSM@MnAIJQAc@Im@f@[Ko@_@w@UwB}@gA]c@SYW{@yA_@[o@Mc@Yc@Gi@DyBcAo@a@i@W_@]Ie@SQUGm@a@c@Qe@Ax@Lj@Pn@H`@nAzA|@~BjADB\\?', 'resource_state': 2}",False,False,False,False,everyone,False,,"[42.21037, -85.583205]","[42.210443, -85.583087]",3.44,4.85,82.5,True,153.1,166.0,False,True,276.0,256.2,18832708523,18832708523,garmin_ping_546552483513,False,1,1,False
